EntityName,OptionSetName,Option,IsUserLocalizedLabel,LocalizedLabelLanguageCode,LocalizedLabel
account,accountcategorycode,1,0,1033,School
account,accountcategorycode,2,0,1033,Employment Agency
account,accountcategorycode,389040000,0,1033,College
account,accountcategorycode,389040001,0,1033,HEI
account,accountcategorycode,389040002,0,1033,Local Authority
account,accountcategorycode,389040003,0,1033,Other
account,accountclassificationcode,1,0,1033,Default Value
account,accountratingcode,1,0,1033,Default Value
account,address1_addresstypecode,1,0,1033,Bill To
account,address1_addresstypecode,2,0,1033,Ship To
account,address1_addresstypecode,3,0,1033,Primary
account,address1_addresstypecode,4,0,1033,Other
account,address1_freighttermscode,1,0,1033,FOB
account,address1_freighttermscode,2,0,1033,No Charge
account,address1_shippingmethodcode,1,0,1033,Airborne
account,address1_shippingmethodcode,2,0,1033,DHL
account,address1_shippingmethodcode,3,0,1033,FedEx
account,address1_shippingmethodcode,4,0,1033,UPS
account,address1_shippingmethodcode,5,0,1033,Postal Mail
account,address1_shippingmethodcode,6,0,1033,Full Load
account,address1_shippingmethodcode,7,0,1033,Will Call
account,address2_addresstypecode,1,0,1033,Default Value
account,address2_freighttermscode,1,0,1033,Default Value
account,address2_shippingmethodcode,1,0,1033,Default Value
account,businesstypecode,1,0,1033,Default Value
account,creditonhold,0,0,1033,No
account,creditonhold,1,0,1033,Yes
account,customersizecode,1,0,1033,Default Value
account,customertypecode,1,0,1033,Competitor
account,customertypecode,2,0,1033,Consultant
account,customertypecode,3,0,1033,Customer
account,customertypecode,4,0,1033,Investor
account,customertypecode,5,0,1033,Partner
account,customertypecode,6,0,1033,Influencer
account,customertypecode,7,0,1033,Press
account,customertypecode,8,0,1033,Prospect
account,customertypecode,9,0,1033,Reseller
account,customertypecode,10,0,1033,Supplier
account,customertypecode,11,0,1033,Vendor
account,customertypecode,12,0,1033,Other
account,dfeta_appropriatebody,0,0,1033,No
account,dfeta_appropriatebody,1,0,1033,Yes
account,dfeta_dbs_childrensbarredlist_access,0,0,1033,No
account,dfeta_dbs_childrensbarredlist_access,1,0,1033,Yes
account,dfeta_trainingprovider,0,0,1033,No
account,dfeta_trainingprovider,1,0,1033,Yes
account,donotbulkemail,0,0,1033,Allow
account,donotbulkemail,1,0,1033,Do Not Allow
account,donotbulkpostalmail,0,0,1033,No
account,donotbulkpostalmail,1,0,1033,Yes
account,donotemail,0,0,1033,Allow
account,donotemail,1,0,1033,Do Not Allow
account,donotfax,0,0,1033,Allow
account,donotfax,1,0,1033,Do Not Allow
account,donotphone,0,0,1033,Allow
account,donotphone,1,0,1033,Do Not Allow
account,donotpostalmail,0,0,1033,Allow
account,donotpostalmail,1,0,1033,Do Not Allow
account,donotsendmm,0,0,1033,Send
account,donotsendmm,1,0,1033,Do Not Send
account,followemail,0,0,1033,Do Not Allow
account,followemail,1,0,1033,Allow
account,industrycode,1,0,1033,Accounting
account,industrycode,2,0,1033,Agriculture and Non-petrol Natural Resource Extraction
