Id,SinkCreatedOn,SinkModifiedOn,statecode,statuscode,dfeta_allreports,dfeta_individualteacherreport,dfeta_section128barringdirectionreport,dfeta_inductionfailreport,dfeta_othereeamemberstatereport,dfeta_blockselfserviceaccess,dfeta_prohibitedteacherreport,dfeta_gtcsanctionreport,createdonbehalfby,createdonbehalfby_entitytype,modifiedonbehalfby,modifiedonbehalfby_entitytype,createdby,createdby_entitytype,organizationid,organizationid_entitytype,modifiedby,modifiedby_entitytype,modifiedbyyominame,createdbyname,modifiedon,dfeta_sanctioncodeid,modifiedbyname,createdonbehalfbyyominame,modifiedonbehalfbyname,importsequencenumber,createdon,modifiedonbehalfbyyominame,versionnumber,overriddencreatedon,createdonbehalfbyname,timezoneruleversionnumber,createdbyyominame,organizationidname,dfeta_name,dfeta_value,utcconversiontimezonecode,dfeta_restrictportalalertsharing
7D8D8136-4230-E911-A95F-000D3A28E897,2020-11-10 14:30:52.0000000,2022-02-15 09:47:48.0000000,0,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-15 09:47:30.0000000,7D8D8136-4230-E911-A95F-000D3A28E897,NULL,NULL,NULL,NULL,2019-02-14 10:20:56.0000000,NULL,96032837,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,FOR INTERNAL INFORMATION ONLY- see alert details,T9,NULL,0
4388385B-468E-EC11-B400-000D3AB416CF,2022-02-15 10:02:44.0000000,2022-02-15 10:02:44.0000000,0,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-15 10:02:23.0000000,4388385B-468E-EC11-B400-000D3AB416CF,NULL,NULL,NULL,NULL,2022-02-15 10:02:23.0000000,NULL,96032932,NULL,NULL,NULL,Alison MOY,NULL,FOR INTERNAL INFORMATION ONLY - known duplicate record,T10,NULL,0
BD6D65E1-841B-EC11-B6E6-000D3ADAE3DF,2021-09-22 09:10:37.0000000,2021-09-22 09:11:30.0000000,1,2,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2021-09-22 09:11:15.0000000,BD6D65E1-841B-EC11-B6E6-000D3ADAE3DF,NULL,NULL,NULL,NULL,2021-09-22 09:10:14.0000000,NULL,86385052,NULL,NULL,NULL,Alison MOY,NULL,Test Alert Creation,TT,NULL,0
89622B74-C4FE-EB11-94EF-0022489960E0,2021-08-16 19:02:59.0000000,2022-02-15 09:48:25.0000000,0,1,0,1,0,0,0,0,1,0,NULL,NULL,NULL,NULL,F2D4A03E-1AF1-EA11-A815-000D3A239E28,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-15 09:47:50.0000000,89622B74-C4FE-EB11-94EF-0022489960E0,NULL,NULL,NULL,NULL,2021-08-16 19:02:17.0000000,NULL,96032846,NULL,NULL,NULL,Robert COLLIER,NULL,New test value for restricting sharing data test,C4,NULL,0
911C8B5F-0636-E511-BDA8-005056822390,2020-11-10 14:30:52.0000000,2022-02-15 10:18:53.0000000,0,1,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-15 10:18:37.0000000,911C8B5F-0636-E511-BDA8-005056822390,NULL,NULL,NULL,NULL,2015-07-29 15:27:55.0000000,NULL,96032961,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Section 128 barring direction,T7,NULL,0
AAD827EE-998F-E511-9194-005056822391,2020-11-10 14:30:52.0000000,2022-02-15 10:19:56.0000000,0,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-15 10:19:35.0000000,AAD827EE-998F-E511-9194-005056822391,NULL,NULL,NULL,NULL,2015-11-20 15:18:20.0000000,NULL,96032967,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Teacher sanctioned in other EEA member state,T8,NULL,0
21790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,21790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:31.0000000,NULL,28994174,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Refer to Registration,A10,NULL,NULL
23790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2022-02-14 16:25:04.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,17A6BE8D-1330-EB11-A813-000D3A239136,systemuser,Alison MOY,NULL,2022-02-14 16:24:35.0000000,23790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:31.0000000,NULL,96028278,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,No Sanction  -  unacceptable professional conduct,A11,NULL,NULL
25790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,25790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994179,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,No Sanction  -  serious professional incompetence,A12,NULL,NULL
27790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,27790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994187,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  unacceptable professional conduct  -  with conditions,A13,NULL,NULL
